동명,포지션,이름,코스트
,1B,오스틴,4
,1B,문정빈,4
KT,1B,김현수,4
,1B,나승엽,4
,1B,디아즈,3
,1B,데이비슨,3
,1B,전의산,3
,1B,김태연,2
,1B,채은성,2
,1B,아담롤링,1
,1B,박상준,1
,1B,강승호,1
,1B,블레인,1
,1B,오태곤,1
,1B,오선우,1
,1B,최주환,1
,1B,노진혁,1
,1B,변우혁,1
,1B,한재환,1
,1B,오명진,1
,1B,오윤석,1
,1B,윤준혁,1
,1B,신재인,1
,1B,문상철,1
,1B,오영수,1
,1B,현원회,1
,1B,브룩스,1
,1B,세베리노,1
,1B,권광민,1
,1B,윤도현,1
,1B,손용준,1
,1B,양석환,1
,1B,황대인,1
,1B,이호연,1
키움58,1B,이주형,1
,1B,박성재,1
,1B,이정범,1
,1B,최항,1
,2B,고승민,5
,2B,서건창,4
,2B,박준순,3
,2B,이도윤,3
,2B,김선빈,3
,2B,하주석,3
,2B,박민우,2
,2B,류지혁,2
,2B,정준재,2
,2B,한태양,2
,2B,김상수,2
,2B,신민재,2
,2B,홍종표,1
,2B,황영묵,1
,2B,석정우,1
,2B,엄준현,1
,2B,이유찬,1
,2B,신성호,1
,2B,김재상,1
,2B,문상준,1
,2B,이호준,1
,2B,강민균,1
,2B,김태진,1
,2B,정민규,1
,2B,박한결,1
,2B,염승원,1
,SS,박성한,5
,SS,이재현,4
,SS,김주원,4
,SS,박찬호,3
,SS,심우준,3
,SS,박정현,3
,SS,전민재,2
,SS,오지환,2
,SS,권혁빈,2
,SS,권동진,1
,SS,김규성,1
,SS,박민,1
,SS,데일,1
,SS,양우현,1
,SS,최유빈,1
,SS,김세민,1
,SS,손민석,1
,SS,박인우,1
,SS,심재훈,1
,SS,추세현,1
,SS,김상준,1
,SS,오선진,1
,SS,정현창,1
,SS,이해승,1
,SS,박계범,1
,SS,이강민,1
,SS,송지후,1
,SS,어준서,1
,SS,이서준,1
,3B,김도영,5
,3B,노시환,5
,3B,김웅빈,4
,3B,김휘집,3
,3B,최정,2
,3B,허경민,2
,3B,전병우,2
두산,3B,박지훈,2
,3B,류현인,2
,3B,장준원,2
,3B,고명준,1
,3B,안재석,1
,3B,박찬형,1
,3B,천성호,1
,3B,홍대인,1
키움,3B,양현종,1
,3B,안상현,1
,3B,서호철,1
,3B,구본혁,1
,3B,김한별,1
,3B,손호영,1
,3B,이영빈,1
,3B,김민성,1
,3B,임종성,1
,3B,강민성,1
,3B,박승욱,1
,3B,여동욱,1
,3B,한준희,1
,3B,도태훈,1
SSG5,3B,김민준,1
,3B,최재영,1
,3B,김지석,1
,3B,정은원,1
,3B,김영웅,1
,3B,오서진,1
,3B,차승준,1
,3B,최윤석,1
,LF,힐리어드,5
,LF,구자욱,5
,LF,카스트로,5
,LF,박재현,4
,LF,레이예스,3
,LF,에레디아,2
,LF,문현빈,2
,LF,송찬의,2
,LF,권희동,2
,LF,김민규,2
LG,LF,이재원,2
,LF,한지윤,1
,LF,히우라,1
두산,LF,김민석,1
,LF,이우성,1
,LF,이형종,1
,LF,한승연,1
,LF,마드리스,1
,LF,고준휘,1
,LF,김민혁,1
,LF,김한홀,1
,LF,문성주,1
,LF,최인호,1
,LF,이성규,1
,LF,김석환,1
,LF,함창건,1
,LF,정해원,1
SSG,LF,이승민,1
,LF,김주오,1
,LF,안치영,1
,LF,김헌곤,1
,LF,김재혁,1
,LF,김현종,1
,LF,임지열,1
,LF,홍현빈,1
,LF,유민,1
,LF,전태현,1
,CF,박해민,3
,CF,김지찬,3
,CF,임병욱,3
,CF,최지훈,2
,CF,황성빈,2
,CF,천재환,2
,CF,오재원,2
키움2,CF,이주형,1
,CF,김호령,1
,CF,유준규,1
,CF,정수빈,1
NC,CF,박시원,1
,CF,김현준,1
,CF,조수행,1
,CF,최정원,1
,CF,장두성,1
,CF,이진영,1
,CF,이원석,1
,CF,배정대,1
,CF,김동혁,1
,CF,최원영,1
,CF,추재현,1
,CF,박주홍,1
,CF,신윤후,1
,CF,박수종,1
,CF,원성준,1
,CF,박채울,1
,CF,오태양,1
,CF,김주성,1
,RF,페라자,4
,RF,나성범,4
KT,RF,최원준,3
,RF,안현민,3
,RF,박찬혁,3
,RF,김대한,2
,RF,장진혁,2
,RF,박승규,1
KT,RF,이재원,1
,RF,카메론,1
,RF,김성윤,1
,RF,김성욱,1
,RF,조세진,1
,RF,최준우,1
,RF,채현우,1
,RF,박정우,1
,RF,한석현,1
,RF,윤동희,1
,RF,임근우,1
,RF,홍창기,1
,RF,류승민,1
,RF,김정민,1
,RF,이진용,1
,RF,오장한,1
,RF,한유섬,1
,RF,주성원,1
,RF,김창평,1
,RF,함수호,1
삼성25,RF,김태훈,1
,RF,조민영,1
,RF,윤정빈,1
,RF,이창진,1
,C,강민호,4
,C,양의지,4
,C,안중열,4
,C,조형우,4
,C,허인서,3
,C,박동원,3
,C,김건희,2
,C,손성빈,2
,C,김태군,2
,C,이지영,2
,C,박재엽,1
,C,류현준,1
,C,김형준,1
,C,한준수,1
,C,한승택,1
,C,김도환,1
,C,장규현,1
,C,김동헌,1
,C,이주헌,1
,C,조대현,1
,C,김재성,1
,C,김기연,1
,C,박상언,1
,C,정보근,1
삼성23,C,이병헌,1
,C,박진우,1
,C,신민우,1
롯데,C,박건우,1
,C,이희성,1
,C,김현도,1
,C,유강남,1
,C,최재훈,1
,C,신범수,1
,C,윤준호,1
,C,주효상,1
,C,장승현,1
,C,박성빈,1
,C,강현우,1
LG,C,김민수,1
KT,C,김민석,1
,C,김민식,1
,C,김정호,1
,C,박세혁,1
,C,김재현,1
,DH,한동희,5
,DH,김재환,5
,DH,안치홍,3
,DH,강백호,1
NC,DH,박건우,1
,DH,최형우,1
,DH,장성우,1
,DH,전다민,1
,DH,문보경,1
,DH,허윤,1
,DH,김동현,1
,DH,이도훈,1
,DH,이정훈,1
,DH,박병호,1
,DH,이인한,1
,DH,권다결,1
,DH,정대선,1
,DH,정준영,1
,DH,고승완,1
,DH,강승구,1
,DH,이원준,1
,DH,김인태,1
,DH,손아섭,1
,DH,고종욱,1
,DH,안인산,1
,DH,이창용,1
,DH,전준우,1
,DH,류효승,1
LG,DH,김성진,1
,DH,홍성호,1
,SP,아빌라,5
,SP,곽빈,5
,SP,왕옌청,5
,SP,카라스코,4
,SP,페덱,4
,SP,라일리,4
,SP,비슬리,4
,SP,로건,3
,SP,올러,1
,SP,김윤하,1
,SP,벤자민,5
,SP,고영표,5
한화,SP,화이트,5
,SP,로드리게스,5
SSG40,SP,김민준,5
,SP,소형준,4
,SP,네일,4
,SP,구창모,4
,SP,잭로그,4
,SP,임찬규,4
,SP,전준표,4
,SP,하영민,3
KIA,SP,양현종,3
,SP,김건우,3
,SP,후라도,2
,SP,대니엘,2
,SP,안우진,2
,SP,원태인,2
,SP,김한결,2
,SP,나균안,2
,SP,박세웅,2
,SP,톨허스트,2
,SP,최원태,2
,SP,양창섭,2
,SP,해치,2
,SP,시라카와,2
,SP,송승기,2
,SP,최민준,2
,SP,배제성,2
,SP,이민석,2
,SP,김태형,2
,SP,이의리,2
,SP,보쉴리,1
,SP,최민석,1
,SP,알칸타라,1
,SP,류현진,1
,SP,김진욱,1
SSG,SP,화이트,1
,SP,오리콘라,1
,SP,웰스,1
,SP,테일러,1
,SP,버헌곤,1
,SP,로젠버그,1
,SP,박준현,1
,SP,오원석,1
,SP,토다,1
,SP,사우어,1
,SP,와일스,1
,SP,에르난데스,1
,SP,최승용,1
,SP,황동하,1
,SP,베니지아노,1
,SP,배동현,1
,SP,신민혁,1
,SP,김백산,1
,SP,문동주,1
,SP,장찬희,1
,SP,타케다,1
,SP,김태경,1
,SP,치리노스,1
한화68,SP,박준영,1
,SP,원종해,1
,SP,이정용,1
,SP,플렉센,1
,SP,장시환,1
,SP,이채호,1
,SP,최하늘,1
,SP,박주성,1
,SP,정우영,1
SSG,SP,김성민,1
,SP,정구범,1
,SP,김재열,1
,SP,홍승원,1
,SP,윤태현,1
,SP,허준혁,1
,SP,권성준,1
,SP,김녹원,1
SSG,SP,이주형,1
,SP,박명근,1
,SP,정민성,1
,SP,원상현,1
,SP,진희성,1
,SP,김태균,1
,SP,신지환,1
,SP,김현재,1
KT,SP,박건우,1
,SP,장민호,1
KIA,SP,김현수,1
,SP,서준오,1
,SP,보스,1
,SP,짐머맨,1
,SP,한차현,1
,SP,긴장료,1
,SP,목지훈,1
,SP,김연주,1
,SP,문용익,1
,SP,최지명,1
,SP,박용재,1
,P,이영하,5
,P,김재윤,4
,P,조병현,4
삼성26,P,이승현,4
,P,황준서,3
,P,김정우,3
,P,전상현,3
삼성,P,이승민,3
,P,타카다,3
,P,원종현,3
한화96,P,박준영,3
,P,김민,3
LG,P,박시원,3
,P,현도훈,3
,P,손동현,3
,P,스기모토,3
,P,박상원,3
,P,전용주,3
,P,전영준,3
,P,손주환,3
,P,이재익,2
,P,박영현,2
,P,유토,2
,P,김택연,2
,P,최지광,2
,P,성영탁,2
,P,박정민,2
,P,조상우,2
,P,장유호,2
,P,이이무라,2
,P,최요한,2
,P,김선기,2
,P,서진용,2
,P,김영우,2
,P,주권,2
,P,김진호,2
,P,우규민,2
KIA,P,김현수,1
,P,유영찬,1
,P,이종준,1
,P,김유영,1
,P,쿠성,1
,P,이민호,1
,P,김기준,1
,P,리오스,1
,P,신영우,1
,P,홍건희,1
,P,장현식,1
,P,정동윤,1
,P,김한중,1
,P,박지한,1
,P,곽도규,1
,P,윤태호,1
KIA,P,이태양,1
,P,최준호,1
두산,P,최원준,1
,P,우강훈,1
,P,임지민,1
,P,이상규,1
,P,전사민,1
,P,양현,1
,P,최주형,1
,P,이준서,1
,P,이용찬,1
,P,조동욱,1
,P,박정훈,1
키움,P,김성민,1
삼성27,P,김태훈,1
,P,김강현,1
,P,오석주,1
,P,이진하,1
,P,이건욱,1
,P,박진형,1
,P,장재혁,1
,P,김원중,1
,P,김진성,1
,P,김진수,1
,P,권민규,1
,P,문승원,1
,P,배재환,1
KT,P,김민수,1
키움,P,김성진,1
삼성57,P,이승현,1
,P,임기영,1
,P,박신지,1
,P,강재민,1
,P,한두솔,1
,P,박치국,1
,P,윤산흠,1
,P,김동주,1
,P,이준혁,1
,P,김준원,1
,P,이민우,1
,P,이영재,1
NC,P,김태훈,1
,P,이재희,1
,P,이정현,1
,P,한승혁,1
,P,함덕주,1
,P,구승민,1
,P,정우주,1
,P,김서준,1
,P,김윤식,1
,P,박시후,1
,P,김범수,1
,P,양재훈,1
,P,이상동,1
,P,배찬승,1
,P,박지성,1
,P,최우석,1
,P,한재승,1
,P,정해영,1
,P,김영규,1
두산,P,이병헌,1
,P,이승헌,1
,P,이로운,1
,P,미야지,1
,P,김재웅,1
,P,정철원,1
,P,김시훈,1
,P,노경은,1
,P,쿄여몽,1
,P,백정현,1
,P,임정호,1
,P,이용준,1
,P,배재준,1
,P,하준영,1
,P,윤석원,1
,P,조원태,1
,P,홍민규,1
,P,김종수,1
,P,이형범,1
,P,최이준,1
,P,정현수,1
,P,타무라,1
,P,최지민,1
,P,박정수,1
,P,김명신,1
,P,김건국,1
,P,조영건,1
,P,장지훈,1
,P,박준우,1
,P,이준우,1
,P,류진욱,1
,P,최용준,1
,P,최지강,1
,P,강건우,1
,P,김창훈,1
,P,최성영,1
,P,백승건,1
,P,홍민기,1
,P,김기훈,1
,P,송명기,1
,P,백승현,1
,P,정다훈,1
,P,박윤성,1
,P,김무신,1
,P,박재규,1
,P,정현우,1
,P,이준기,1
,P,한승주,1
,P,이기순,1
,P,김정운,1
,P,김도현,1
,P,최현우,1
,P,김서현,1
,P,원종혁,1
,P,성동현,1
,P,박세진,1
,P,변건우,1
,P,김도빈,1
키움,P,이태양,1
,P,김강률,1
,P,윤성빈,1
,P,김동규,1
,P,이교훈,1
,P,김범준,1
,P,신동건,1
,P,조건희,1
,P,정재훈,1
,P,정세영,1
,P,육선엽,1
,P,주현상,1
,P,지현,1
,P,임준형,1
,P,엄상백,1
,P,최충연,1
,P,이상영,1
,P,신상연,1
,P,홍재문,1
,P,김택형,1
,P,양우진,1
,P,사토시,1
KT,P,박지훈,1
,P,김대현,1
