2023-2024 대상 386일 중 미완료 386일
=== 2023-03-13 완료 (177타자/66투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-14 완료 (170타자/61투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-15 완료 (164타자/63투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-16 완료 (164타자/56투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-18 완료 (175타자/59투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-19 완료 (170타자/59투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-20 완료 (162타자/52투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-21 완료 (164타자/59투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-23 완료 (69타자/23투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-24 완료 (165타자/50투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-25 완료 (174타자/62투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-26 완료 (160타자/53투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-27 완료 (159타자/53투수, player_code 없음 0명, round=kbo_e)
=== 2023-03-28 완료 (172타자/60투수, player_code 없음 0명, round=kbo_e)
=== 2023-04-01 완료 (134타자/62투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-02 완료 (120타자/59투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-04 완료 (92타자/32투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-05 완료 (48타자/15투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-06 완료 (72타자/27투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-07 완료 (117타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-08 완료 (126타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-09 완료 (122타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-11 완료 (125타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-12 완료 (90타자/36투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-13 완료 (132타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-14 완료 (126타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-15 완료 (115타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-16 완료 (122타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-18 완료 (116타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-19 완료 (127타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-20 완료 (124타자/41투수, player_code 없음 0명, round=kbo_r)
=== 2023-04-21 완료 (129타자/49투수, player_code 없음 0명, round=kbo_r)
