2025시즌 전체 180일 중 미완료 180일
=== 2025-03-22 완료 (141타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-03-23 완료 (125타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2025-03-25 완료 (138타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2025-03-26 완료 (121타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-03-27 완료 (121타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2025-03-28 완료 (128타자/36투수, player_code 없음 0명, round=kbo_r)
=== 2025-03-29 완료 (131타자/41투수, player_code 없음 0명, round=kbo_r)
=== 2025-03-30 완료 (101타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-02 완료 (94타자/40투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-03 완료 (98타자/30투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-04 완료 (133타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-05 완료 (79타자/35투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-06 완료 (119타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-08 완료 (123타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-09 완료 (126타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-10 완료 (126타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-11 완료 (124타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-12 완료 (67타자/29투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-13 완료 (125타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-15 완료 (98타자/33투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-16 완료 (103타자/33투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-17 완료 (97타자/39투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-18 완료 (131타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-19 완료 (124타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-20 완료 (131타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-22 완료 (77타자/29투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-23 완료 (127타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-24 완료 (128타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-25 완료 (124타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-26 완료 (129타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-27 완료 (123타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-29 완료 (126타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2025-04-30 완료 (128타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-01 완료 (75타자/29투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-02 완료 (126타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-03 완료 (106타자/34투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-04 완료 (127타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-05 완료 (121타자/38투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-06 완료 (125타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-07 완료 (128타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-09 완료 (24타자/11투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-10 완료 (153타자/59투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-11 완료 (209타자/72투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-13 완료 (122타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-14 완료 (132타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-15 완료 (128타자/42투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-17 완료 (274타자/102투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-18 완료 (133타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-20 완료 (126타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-21 완료 (130타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-22 완료 (128타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-23 완료 (127타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-24 완료 (124타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-25 완료 (117타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-27 완료 (118타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-28 완료 (114타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-29 완료 (129타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-30 완료 (132타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-05-31 완료 (117타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-01 완료 (124타자/53투수, player_code 없음 0명, round=kbo_r)
시간 예산 소진, 다음 실행에서 이어서 진행
이번 실행 후 남은 미완료: 120일
2025시즌 전체 180일 중 미완료 120일
=== 2025-06-03 완료 (130타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-04 완료 (124타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-05 완료 (124타자/43투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-06 완료 (119타자/40투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-07 완료 (129타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-08 완료 (132타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-10 완료 (130타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-11 완료 (128타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-12 완료 (130타자/60투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-13 완료 (18타자/2투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-14 완료 (132타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-15 완료 (126타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-17 완료 (136타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-18 완료 (117타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-19 완료 (123타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-20 완료 (23타자/9투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-21 완료 (72타자/36투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-22 완료 (131타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-24 완료 (66타자/25투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-25 완료 (75타자/27투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-26 완료 (125타자/62투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-27 완료 (132타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-28 완료 (124타자/37투수, player_code 없음 0명, round=kbo_r)
=== 2025-06-29 완료 (127타자/58투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-01 완료 (115타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-02 완료 (116타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-03 완료 (129타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-04 완료 (113타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-05 완료 (127타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-06 완료 (130타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-08 완료 (130타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-09 완료 (149타자/49투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-10 완료 (131타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-18 완료 (52타자/16투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-19 완료 (73타자/28투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-20 완료 (125타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-22 완료 (132타자/45투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-23 완료 (139타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-24 완료 (132타자/55투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-25 완료 (131타자/52투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-26 완료 (124타자/41투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-27 완료 (133타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-29 완료 (128타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-30 완료 (128타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2025-07-31 완료 (132타자/46투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-01 완료 (122타자/42투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-02 완료 (106타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-03 완료 (98타자/35투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-05 완료 (118타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-06 완료 (128타자/57투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-07 완료 (133타자/48투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-08 완료 (117타자/40투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-09 완료 (77타자/24투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-10 완료 (127타자/50투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-12 완료 (128타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-13 완료 (50타자/18투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-14 완료 (100타자/44투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-15 완료 (123타자/53투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-16 완료 (130타자/47투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-17 완료 (133타자/51투수, player_code 없음 0명, round=kbo_r)
=== 2025-08-19 완료 (127타자/50투수, player_code 없음 0명, round=kbo_r)
